id_vehicule,immatriculation,type,marque,modele,capacite_kg,capacite_m3,id_entrepot,statut,date_mise_en_service,date_derniere_maintenance,km_compteur
1,AB-123-CD,fourgon,Renault,Master,1400,13,1,disponible,2020-03-15,2024-01-10,87500
2,EF-456-GH,fourgon,Mercedes,Sprinter,1800,15,1,disponible,2021-06-20,2024-02-15,52000
3,IJ-789-KL,camion,Renault,D-Wide,8000,40,1,disponible,2019-09-01,2023-12-05,145000
4,MN-012-OP,camion,Volvo,FL,10000,45,1,en_maintenance,2018-04-10,2024-03-01,210000
5,QR-345-ST,fourgon,Fiat,Ducato,1200,12,1,disponible,2022-01-15,2024-01-20,31000
6,UV-678-WX,camion,MAN,TGL,7500,38,1,disponible,2020-07-01,2024-02-28,112000
7,YZ-901-AB,fourgonnette,Renault,Kangoo,650,4,1,disponible,2023-02-01,2024-03-10,12000
8,CD-234-EF,fourgon,Citroen,Jumper,1500,14,1,disponible,2021-03-10,2023-11-15,63000
9,GH-567-IJ,camion,DAF,LF,9000,42,1,hors_service,2017-01-20,2023-06-01,298000
10,KL-890-MN,fourgon,Peugeot,Boxer,1600,14,1,disponible,2022-08-01,2024-02-01,28000
11,OP-123-QR,fourgon,Mercedes,Sprinter,1800,15,1,disponible,2021-11-15,2024-01-25,48500
12,ST-456-UV,fourgonnette,Peugeot,Partner,700,4,1,disponible,2023-05-01,2024-03-05,8500
13,WX-789-YZ,camion,Renault,D-Wide,8000,40,1,disponible,2020-01-10,2024-01-15,128000
14,AB-012-CD,fourgon,Fiat,Ducato,1200,12,1,en_maintenance,2021-09-01,2024-03-12,55000
15,EF-345-GH,camion,Volvo,FE,12000,50,1,disponible,2019-06-15,2023-12-20,168000
16,IJ-678-KL,fourgon,Renault,Master,1400,13,2,disponible,2021-02-01,2024-01-05,47000
17,MN-901-OP,fourgon,Mercedes,Sprinter,1800,15,2,disponible,2020-10-15,2024-02-10,72000
18,QR-234-ST,camion,MAN,TGL,7500,38,2,disponible,2019-12-01,2024-01-30,138000
19,UV-567-WX,fourgonnette,Renault,Kangoo,650,4,2,disponible,2023-01-10,2024-03-01,14000
20,YZ-890-AB,camion,Renault,D-Wide,8000,40,2,en_maintenance,2018-08-01,2024-03-08,225000
21,CD-123-EF,fourgon,Citroen,Jumper,1500,14,2,disponible,2022-04-01,2024-02-20,33000
22,GH-456-IJ,fourgon,Peugeot,Boxer,1600,14,2,disponible,2021-07-01,2023-12-10,58000
23,KL-789-MN,camion,DAF,LF,9000,42,2,disponible,2020-05-01,2024-01-18,105000
24,OP-012-QR,fourgonnette,Peugeot,Partner,700,4,2,disponible,2023-06-01,2024-03-15,6000
25,ST-345-UV,fourgon,Fiat,Ducato,1200,12,2,disponible,2022-09-01,2024-02-05,25000
26,WX-678-YZ,camion,Volvo,FL,10000,45,2,disponible,2019-03-20,2024-01-12,175000
27,AB-901-CD,fourgon,Renault,Master,1400,13,2,disponible,2021-12-01,2024-02-25,42000
28,EF-234-GH,fourgon,Mercedes,Sprinter,1800,15,2,hors_service,2018-11-01,2023-09-15,195000
29,IJ-567-KL,camion,Renault,D-Wide,8000,40,2,disponible,2020-08-15,2024-01-22,118000
30,MN-890-OP,fourgonnette,Citroen,Berlingo,680,4,2,disponible,2023-03-15,2024-03-10,10500
31,QR-123-ST,fourgon,Peugeot,Boxer,1600,14,3,disponible,2021-04-01,2024-01-08,51000
32,UV-456-WX,fourgon,Renault,Master,1400,13,3,disponible,2022-02-15,2024-02-12,29000
33,YZ-789-AB,camion,MAN,TGM,12000,55,3,disponible,2019-07-01,2024-01-28,155000
34,CD-012-EF,fourgon,Mercedes,Sprinter,1800,15,3,en_maintenance,2020-12-01,2024-03-05,85000
35,GH-345-IJ,fourgonnette,Renault,Kangoo,650,4,3,disponible,2023-04-01,2024-03-12,9000
36,KL-678-MN,camion,DAF,CF,15000,60,3,disponible,2018-09-15,2024-01-15,232000
37,OP-901-QR,fourgon,Citroen,Jumper,1500,14,3,disponible,2021-08-01,2024-02-18,54000
38,ST-234-UV,fourgon,Fiat,Ducato,1200,12,3,disponible,2022-06-01,2024-01-22,22000
39,WX-567-YZ,camion,Volvo,FL,10000,45,3,disponible,2020-02-01,2024-02-28,130000
40,AB-890-CD,fourgonnette,Peugeot,Partner,700,4,3,disponible,2023-07-01,2024-03-08,5500
